"Case.Number","sentdate","Court.Type","Judge.Name","Gender","Race","age","Public.Defender.","prison","charge0","chargeCO3","chargeF1","chargeF2","chargeF3","chargeF5","chargeF6","chargeF7","chargeM1","chargeM2","chargeMO3","chargeNI0","chargeTC4","chargeTCX","plea0_notguilty","pleaF1_notguilty","pleaF2_notguilty","pleaF3_notguilty","pleaF5_notguilty","pleaF6_notguilty","pleaF7_notguilty","pleaM1_notguilty","pleaM2_notguilty","pleaTC4_notguilty","pleaTCX_notguilty","plea0_nolocontendere","pleaCO3_nolocontendere","pleaF1_nolocontendere","pleaF2_nolocontendere","pleaF3_nolocontendere","pleaF5_nolocontendere","pleaF7_nolocontendere","pleaM1_nolocontendere","pleaM2_nolocontendere","pleaMO3_nolocontendere","pleaNI0_nolocontendere","pleaTC4_nolocontendere","pleaTCX_nolocontendere","plea0_guilty","pleaF1_guilty","pleaF2_guilty","pleaF3_guilty","pleaF7_guilty","pleaM1_guilty","pleaM2_guilty","pleaTCX_guilty","compasflag","compas","histepisodes","histdays"
"06000008CF10A",2006-03-16,"felony","Duffy, Barbara R","male","white",45.6958904109589,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",1,249
"06000012CF10A",2007-02-28,"felony","Coleman, Thomas J","male","Black",36.2712328767123,TRUE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",2,1143
"06000020CF10A",2006-03-07,"felony","Kollra, Ernest A","male","Black",31.4465753424658,TRUE,TRUE,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000032CF10A",2006-03-31,"felony","Merrigan, Edward H, Jr","male","Black",50.1506849315069,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000036CF10A",2006-10-24,"felony","Holden, Peter","male","Black",24.2602739726027,TRUE,TRUE,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,FALSE,"none",0,0
"06000040CF10A",2006-08-18,"felony","Scherer, Elizabeth","male","Black",22.0547945205479,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000052CF10A",2007-11-16,"felony","Ledee, Frank","female","Black",30.7643835616438,TRUE,TRUE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000060CF10A",2008-08-22,"felony","Ledee, Frank","male","Black",29.7643835616438,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",1,389
"06000068CF10A",2006-05-02,"felony","Merrigan, Edward H, Jr","male","Black",40.2191780821918,TRUE,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000072CF10A",2006-02-27,"felony","Scherer, Elizabeth","male","white",54.9452054794521,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000076CF10A",2007-11-28,"felony","Coleman, Thomas J","female","Black",30.158904109589,TRUE,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000080CF10A",2006-07-27,"felony","Holden, Peter","male","white",32.5068493150685,TRUE,TRUE,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",3,733
"06000084CF10A",2008-02-29,"felony","Rothschild, Michael I","male","Black",19.3232876712329,TRUE,TRUE,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000088CF10A",2008-05-21,"felony","Fein, Martin S","male","Black",25.8904109589041,TRUE,TRUE,0,0,0,7,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,FALSE,"none",2,2122
"06000100CF10A",2006-02-13,"felony","Holden, Peter","female","Black",53.0657534246575,TRUE,TRUE,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000104CF10A",2006-03-28,"felony","Rothschild, Michael I","male","Black",20.8684931506849,FALSE,TRUE,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000108CF10A",2006-06-01,"felony","Ledee, Frank","male","white",22.7150684931507,TRUE,TRUE,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000112CF10A",2006-08-10,"felony","Holden, Peter","female","Black",18.7232876712329,TRUE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000116CF10A",2006-05-25,"felony","Usan, Michael A","male","white",47.0301369863014,TRUE,FALSE,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",2,511
"06000128CF10A",2007-12-11,"felony","Siegel, Andrew L","male","white",18.5616438356164,TRUE,TRUE,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000132CF10A",2006-02-06,"felony","Fein, Martin S","male","white",42.9315068493151,FALSE,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,"none",1,112
"06000144CF10A",2007-02-21,"felony","Alspector, Susan L","male","white",20.0547945205479,FALSE,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000152CF10A",2007-03-13,"felony","Duffy, Barbara R","female","white",39.627397260274,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000156CF10A",2006-03-22,"felony","Kollra, Ernest A","male","white",42.2630136986301,TRUE,TRUE,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,FALSE,"none",0,0
"06000160CF10A",2006-10-03,"felony","Lynch, Michael","female","Black",31.6547945205479,TRUE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000164CF10A",2006-09-28,"felony","Kollra, Ernest A","female","Black",24.1972602739726,TRUE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000176CF10A",2006-04-13,"felony","Lynch, Michael","male","Black",20.7232876712329,TRUE,TRUE,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,"none",0,0
"06000180CF10A",2007-01-18,"felony","Odom, George, Jr","male","white",36.1534246575342,TRUE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000188CF10A",2006-10-20,"felony","Duffy, Barbara R","male","white",29.0739726027397,TRUE,TRUE,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000196CF10A",2006-07-12,"felony","Duffy, Barbara R","male","white",21.4767123287671,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000208CF10A",2006-02-15,"felony","Davis, N Hunter","male","white",48.8054794520548,TRUE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000212CF10A",2006-02-14,"felony","Davis, N Hunter","male","white",32.2602739726027,TRUE,TRUE,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",3,943
"06000224CF10A",2006-03-31,"felony","Holden, Peter","female","Black",24.9150684931507,TRUE,TRUE,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000228CF10A",2006-07-31,"felony","Davis, N Hunter","male","Black",42.2520547945205,TRUE,TRUE,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000236CF10A",2006-03-13,"felony","Rothschild, Michael I","male","Black",25.2575342465753,TRUE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",3,607
"06000240CF10A",2006-09-21,"felony","Lynch, Michael","male","Black",19.7835616438356,FALSE,TRUE,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000248CF10A",2006-05-16,"felony","Porth, Ari Abraham","male","Black",46.2739726027397,TRUE,FALSE,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",3,583
"06000252CF10A",2006-05-30,"felony","Holden, Peter","female","white",20.013698630137,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000256CF10A",2010-09-07,"felony","Scherer, Elizabeth","male","white",21.1835616438356,TRUE,TRUE,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000264CF10A",2006-03-13,"felony","Rothschild, Michael I","male","white",24.3972602739726,TRUE,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
"06000268CF10A",2006-07-26,"felony","Lynch, Michael","male","Black",35.5616438356164,TRUE,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"none",0,0
